date,ticker,hv_current,iv_current
2023-10-02,SPY,0.1246,0.161
2023-10-04,SPY,0.1303,0.1687
2023-10-06,SPY,0.1251,0.1578
2023-10-09,SPY,0.1247,0.158
2023-10-11,SPY,0.1168,0.1399
2023-10-13,SPY,0.1172,0.1632
2023-10-16,SPY,0.1219,0.1486
2023-10-18,SPY,0.1257,0.1681
2023-10-20,SPY,0.1311,0.1885
2023-10-23,SPY,0.1286,0.179
2023-10-25,SPY,0.1359,0.1811
2023-10-27,SPY,0.1294,0.1892
2023-10-30,SPY,0.1358,0.1775
2023-11-03,SPY,0.1469,0.1284
2023-11-06,SPY,0.1466,0.1295
2023-11-09,SPY,0.141,0.135
2023-11-10,SPY,0.1473,0.1236
2023-11-13,SPY,0.1473,0.1328
2023-11-29,SPY,0.1413,0.111
2023-12-01,SPY,0.1308,0.1101
2023-12-04,SPY,0.1253,0.1142
2023-12-06,SPY,0.1255,0.1156
2023-12-08,SPY,0.1065,0.109
2023-12-11,SPY,0.1036,0.1115
2023-12-13,SPY,0.1047,0.1045
2023-12-15,SPY,0.0955,0.1042
2023-12-18,SPY,0.0941,0.108
2023-12-20,SPY,0.1064,0.1155
2023-12-22,SPY,0.1037,0.1134
2023-12-25,SPY,0.1037,0.1134
2023-12-27,SPY,0.0962,0.1082
2023-12-29,SPY,0.0837,0.1066
2024-01-01,SPY,0.0837,0.1066
2024-01-03,SPY,0.091,0.1248
2024-01-05,SPY,0.0894,0.1196
2024-01-08,SPY,0.0969,0.1143
2024-01-10,SPY,0.0975,0.1104
2024-01-12,SPY,0.0975,0.1087
2024-01-15,SPY,0.0975,
2024-01-17,SPY,0.0994,0.1262
2024-01-19,SPY,0.1049,0.1131
2024-01-22,SPY,0.1034,0.1122
2024-01-24,SPY,0.1019,0.1097
2024-01-26,SPY,0.1023,0.1102
2024-01-29,SPY,0.0976,0.1128
2024-01-31,SPY,0.1087,0.1218
2024-02-02,SPY,0.1158,0.1126
2024-02-05,SPY,0.1076,0.1122
2024-02-07,SPY,0.107,0.1082
2024-02-09,SPY,0.1074,0.1083
2024-02-12,SPY,0.1075,0.1178
2024-02-14,SPY,0.1162,0.1191
2024-02-16,SPY,0.1139,0.1207
2024-02-19,SPY,0.1139,0.1207
2024-02-21,SPY,0.1102,0.1268
2024-02-23,SPY,0.1223,0.1154
2024-02-26,SPY,0.1233,0.1157
2024-02-28,SPY,0.1224,0.1143
2024-03-01,SPY,0.1205,0.1106
2024-03-04,SPY,0.1171,0.115
2024-03-06,SPY,0.1226,0.1239
2024-03-08,SPY,0.1265,0.1252
2024-03-11,SPY,0.1264,0.1301
2024-03-13,SPY,0.128,0.1165
2024-03-15,SPY,0.117,0.1257
2024-03-18,SPY,0.1147,0.1262
2024-03-20,SPY,0.1165,0.1143
2024-03-22,SPY,0.1153,0.1096
2024-03-25,SPY,0.1152,0.1129
2024-03-27,SPY,0.1081,0.107
2024-03-29,SPY,0.1061,0.1075
2024-04-01,SPY,0.1053,0.1135
2024-04-03,SPY,0.1041,0.1262
2024-04-05,SPY,0.0994,0.1385
2024-04-08,SPY,0.0994,0.1327
2024-04-10,SPY,0.1034,0.1394
2024-04-12,SPY,0.1131,0.1501
2024-04-15,SPY,0.1155,0.1685
2024-04-17,SPY,0.1132,0.1638
2024-04-19,SPY,0.1098,0.1661
2024-04-22,SPY,0.1129,0.1514
2024-04-24,SPY,0.114,0.1408
2024-04-26,SPY,0.118,0.1332
2024-04-29,SPY,0.1149,0.1297
2024-05-01,SPY,0.1212,0.1388
2024-05-03,SPY,0.1267,0.1221
2024-05-06,SPY,0.1306,0.1212
2024-05-08,SPY,0.1303,0.1159
2024-05-10,SPY,0.1291,0.1118
2024-05-13,SPY,0.1291,0.1209
2024-05-15,SPY,0.133,0.1077
2024-05-17,SPY,0.1244,0.1034
2024-05-20,SPY,0.1244,0.1064
2024-05-22,SPY,0.1207,0.1081
